Ticker,Time,Millisec,LastPrice,Volume,BidVolume1,BidPrice1,AskVolume1,AskPrice1
IF1502,13:00:26,600,3405,238748,3,3404.6,31,3405
IF1502,13:00:27,100,3404.6,238785,1,3404.2,33,3405.2
IF1502,13:00:27,600,3404.2,238840,1,3404.2,4,3404.4
IF1502,13:00:28,100,3404,238851,8,3403.8,3,3404
IF1502,13:00:28,600,3403.6,238880,8,3403.4,39,3404.2
IF1502,13:00:29,100,3403.2,238892,4,3403,5,3403.2
IF1502,13:00:29,600,3403,238908,2,3402.8,2,3403
IF1502,13:00:30,100,3403,238923,1,3403.2,2,3403.4
IF1502,13:00:30,600,3403.2,238932,3,3403.2,1,3403.4
IF1502,13:00:31,100,3403.6,238936,1,3403.4,6,3403.6
IF1502,13:00:31,600,3403.6,238939,3,3403.4,3,3403.6
IF1502,13:00:32,100,3403,238954,1,3402.6,2,3403
IF1502,13:00:32,600,3403.2,238957,4,3403,2,3403.2
IF1502,13:00:33,100,3402.8,238964,3,3402.8,6,3403.4
IF1502,13:00:33,600,3403,238973,4,3402.8,2,3403
IF1502,13:00:34,100,3402.8,238986,12,3402.6,7,3403.4
IF1502,13:00:34,600,3402.8,238991,12,3402.6,8,3402.8
IF1502,13:00:35,100,3402.6,238996,4,3402.6,4,3402.8
IF1502,13:00:35,600,3402.6,239002,8,3402.4,3,3402.6
IF1502,13:00:36,100,3402.4,239007,5,3402.4,4,3402.6
IF1502,13:00:36,600,3402.8,239018,10,3402.8,2,3403
IF1502,13:00:37,100,3402.8,239022,6,3402.6,4,3402.8
IF1502,13:00:37,600,3403,239032,4,3402.8,3,3403
IF1502,13:00:38,100,3402.8,239043,4,3402.8,22,3403.2
IF1502,13:00:38,600,3402.6,239057,4,3402.6,1,3403
IF1502,13:00:39,100,3402.4,239069,2,3402.4,34,3402.6
IF1502,13:00:39,600,3402.2,239101,3,3401.8,3,3402.6
IF1502,13:00:40,100,3402.6,239115,34,3402.2,2,3402.6
IF1502,13:00:40,600,3403.2,239127,10,3403,12,3403.2
IF1502,13:00:41,100,3403.2,239142,4,3403.2,7,3403.4
IF1502,13:00:41,600,3404.2,239160,1,3404.2,14,3404.4
IF1502,13:00:42,100,3404.2,239185,23,3404,5,3404.4
IF1502,13:00:42,600,3404.6,239208,1,3404.2,15,3405
IF1502,13:00:43,100,3404.4,239210,8,3404,6,3404.4
IF1502,13:00:43,600,3404.2,239211,5,3404.2,6,3404.4
IF1502,13:00:44,100,3404.2,239217,10,3404,4,3404.2
IF1502,13:00:44,600,3404.2,239219,10,3404,11,3404.2
IF1502,13:00:45,100,3404.2,239222,5,3404,14,3404.2
IF1502,13:00:45,600,3404.2,239232,11,3404,4,3404.2
IF1502,13:00:46,100,3404.4,239240,3,3404.2,7,3404.4
IF1502,13:00:46,600,3404.4,239250,2,3404.2,1,3404.4
IF1502,13:00:47,100,3405,239263,4,3404.6,17,3405
IF1502,13:00:47,600,3405,239263,3,3404.6,4,3404.8
IF1502,13:00:48,100,3405,239277,6,3404.8,9,3405
IF1502,13:00:48,600,3405,239287,4,3404.8,2,3405
IF1502,13:00:49,100,3405,239299,9,3404.6,4,3404.8
IF1502,13:00:49,600,3405,239310,5,3404.6,2,3405
IF1502,13:00:50,100,3405.4,239331,4,3405.2,4,3405.4
IF1502,13:00:50,600,3405.2,239333,3,3405.2,4,3405.4
IF1502,13:00:51,100,3405.4,239337,1,3405.2,10,3405.4
IF1502,13:00:51,600,3405.4,239339,3,3405.2,7,3405.4
IF1502,13:00:52,100,3405.4,239347,1,3405.4,10,3405.6
IF1502,13:00:52,600,3406,239363,2,3405.6,50,3406
IF1502,13:00:53,100,3405.6,239386,18,3405.6,3,3405.8
IF1502,13:00:53,600,3405.6,239405,1,3405.4,1,3405.6
IF1502,13:00:54,100,3405.2,239407,4,3405.2,6,3405.6
IF1502,13:00:54,600,3405.6,239409,4,3405.2,7,3405.6
IF1502,13:00:55,100,3405.8,239434,2,3405.6,9,3406
IF1502,13:00:55,600,3405.4,239460,11,3405.4,61,3406
IF1502,13:00:56,100,3405,239477,9,3405,7,3405.2
IF1502,13:00:56,600,3405.2,239484,4,3405.2,12,3405.4
IF1502,13:00:57,100,3405.4,239488,3,3405.2,6,3405.4
IF1502,13:00:57,600,3405.2,239495,2,3405.2,5,3405.4
IF1502,13:00:58,100,3405.2,239499,10,3405,6,3405.2
