IF1502,09:19:36,100,3319.8,10175,8,3319.6,1,3319.8
IF1502,09:19:36,600,3319.6,10185,6,3319.4,6,3319.8
IF1502,09:19:37,100,3319.4,10187,4,3319.4,4,3319.6
IF1502,09:19:37,600,3319.6,10189,3,3319.4,1,3319.6
IF1502,09:19:38,100,3319.8,10196,7,3319.6,2,3320
IF1502,09:19:38,600,3319.8,10197,11,3319.6,2,3319.8
IF1502,09:19:39,100,3319.6,10205,3,3319.6,9,3320
IF1502,09:19:39,600,3319.8,10207,5,3319.6,1,3319.8
IF1502,09:19:40,100,3319.6,10221,7,3319.6,7,3320
IF1502,09:19:40,600,3320.2,10233,49,3319.6,6,3320.2
IF1502,09:19:41,100,3320.2,10243,4,3320,11,3320.4
IF1502,09:19:41,600,3320.6,10261,1,3320.6,14,3320.8
IF1502,09:19:42,100,3320.8,10268,8,3320.6,7,3320.8
IF1502,09:19:42,600,3320.8,10279,1,3320.8,8,3321
IF1502,09:19:43,100,3321,10285,8,3320.8,3,3321
IF1502,09:19:43,600,3321,10295,10,3320.8,7,3321.2
IF1502,09:19:44,100,3321.2,10305,6,3321,2,3321.2
IF1502,09:19:44,600,3321.4,10316,6,3321.2,1,3321.4
IF1502,09:19:45,100,3321.4,10319,1,3321.4,8,3321.6
IF1502,09:19:45,600,3321.2,10329,3,3321.2,6,3321.4
IF1502,09:19:46,100,3321,10343,1,3321,6,3321.4
IF1502,09:19:46,600,3320.8,10350,3,3320.6,2,3320.8
IF1502,09:19:47,100,3320.8,10361,3,3320.8,2,3321.2
IF1502,09:19:47,600,3321,10366,4,3320.8,4,3321.2
IF1502,09:19:48,100,3320.8,10371,8,3320.6,1,3320.8
IF1502,09:19:48,600,3321,10384,4,3320.8,6,3321.2
IF1502,09:19:49,100,3320.8,10389,8,3320.6,1,3320.8
IF1502,09:19:49,600,3321.2,10393,4,3321,3,3321.2
IF1502,09:19:50,100,3321,10397,9,3320.8,7,3321.2
IF1502,09:19:50,600,3320.8,10399,7,3320.8,5,3321
IF1502,09:19:51,100,3320.8,10408,9,3320.6,3,3320.8
IF1502,09:19:51,600,3320.8,10409,9,3320.6,8,3321
IF1502,09:19:52,100,3320.8,10416,7,3320.6,2,3320.8
IF1502,09:19:52,600,3320.8,10418,9,3320.6,4,3320.8
IF1502,09:19:53,100,3320.8,10424,2,3320.8,6,3321
IF1502,09:19:53,600,3320.8,10426,1,3320.8,8,3321
IF1502,09:19:54,100,3320.8,10428,1,3320.8,6,3321
IF1502,09:19:54,600,3320.4,10443,7,3320.4,2,3320.6
IF1502,09:19:55,100,3320.2,10454,4,3320.2,9,3320.6
IF1502,09:19:55,600,3320.2,10458,2,3320.2,4,3320.4
IF1502,09:19:56,100,3320.6,10467,2,3320.6,5,3320.8
IF1502,09:19:56,600,3320.8,10473,4,3320.8,7,3321
IF1502,09:19:57,100,3320.8,10474,3,3320.8,7,3321
